mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.6,"64 km WSW of Cantwell, Alaska",1643752179772,1643752358898,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0221h9zsnt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0221h9zsnt&format=geojson,,,,,automatic,0,39,ak,0221h9zsnt,",ak0221h9zsnt,",",ak,",",origin,",,,0.7,,ml,earthquake,"M 1.6 - 64 km WSW of Cantwell, Alaska"
2.0,"1 km WSW of Indios, Puerto Rico",1643750978520,1643756530840,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71332123,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71332123&format=geojson,,,,,reviewed,0,62,pr,71332123,",pr71332123,",",pr,",",origin,phase-data,",10.0,,0.17,180.0,md,earthquake,"M 2.0 - 1 km WSW of Indios, Puerto Rico"
0.52,"6km WSW of Gilroy, CA",1643750369410,1643754850522,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73686916,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73686916&format=geojson,,,,,reviewed,0,4,nc,73686916,",nc73686916,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",7.0,0.04133,0.08,82.0,md,earthquake,"M 0.5 - 6km WSW of Gilroy, CA"
2.3,"6 km SW of Guánica, Puerto Rico",1643750059720,1643753390750,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71332103,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71332103&format=geojson,,,,,reviewed,0,81,pr,71332103,",pr71332103,",",pr,",",origin,phase-data,",7.0,,0.05,230.0,md,earthquake,"M 2.3 - 6 km SW of Guánica, Puerto Rico"
2.28,"3 km ESE of La Parguera, Puerto Rico",1643749980870,1643752844450,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71332098,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71332098&format=geojson,,,,,reviewed,0,80,pr,71332098,",pr71332098,",",pr,",",origin,phase-data,",5.0,,0.04,189.0,md,earthquake,"M 2.3 - 3 km ESE of La Parguera, Puerto Rico"
2.12,"4 km WSW of Fuig, Puerto Rico",1643749750510,1643752356720,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71332093,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71332093&format=geojson,,,,,reviewed,0,69,pr,71332093,",pr71332093,",",pr,",",origin,phase-data,",5.0,,0.08,173.0,md,earthquake,"M 2.1 - 4 km WSW of Fuig, Puerto Rico"
-0.06,"16km NNE of Ridgecrest, CA",1643749412610,1643752647874,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39930055,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39930055&format=geojson,,,,,reviewed,0,0,ci,39930055,",ci39930055,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",5.0,0.06262,0.03,215.0,ml,earthquake,"M -0.1 - 16km NNE of Ridgecrest, CA"
1.24,"8 km ESE of Amber, Oklahoma",1643749355820,1643837911221,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2022cggg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2022cggg&format=geojson,,,,,reviewed,0,24,ok,2022cggg,",ok2022cggg,",",ok,",",origin,phase-data,",21.0,0.04859046489,0.31,94.0,ml,earthquake,"M 1.2 - 8 km ESE of Amber, Oklahoma"
0.6,"0 km S of Carnelian Bay, California",1643749180701,1643769516037,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00832995,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00832995&format=geojson,,,,,reviewed,0,6,nn,00832995,",nn00832995,",",nn,",",origin,phase-data,",11.0,0.035,0.0772,97.5,ml,earthquake,"M 0.6 - 0 km S of Carnelian Bay, California"
1.7,"16 km SSE of Sunnyside, Utah",1643749082390,1643751502190,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60480057,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60480057&format=geojson,,,,,reviewed,0,44,uu,60480057,",uu60480057,",",uu,",",origin,phase-data,",7.0,0.01747,0.11,198.0,md,earthquake,"M 1.7 - 16 km SSE of Sunnyside, Utah"
0.62,"13km ENE of Cloverdale, CA",1643748925610,1643749390912,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73686911,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73686911&format=geojson,,,,,automatic,0,6,nc,73686911,",nc73686911,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",8.0,0.008564,0.01,141.0,md,earthquake,"M 0.6 - 13km ENE of Cloverdale, CA"
1.61,,1643748664820,1643751284240,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60480047,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60480047&format=geojson,,,,,reviewed,0,40,uu,60480047,",uu60480047,",",uu,",",origin,phase-data,",9.0,0.0147,0.14,197.0,ml,earthquake,M 1.6 - 
1.71,"2km ENE of The Geysers, CA",1643748522460,1643846356565,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73686906,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73686906&format=geojson,,,,,reviewed,0,45,nc,73686906,",nc73686906,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",46.0,0.004001,0.05,39.0,md,earthquake,"M 1.7 - 2km ENE of The Geysers, CA"
2.39,"12 km SSE of Friday Harbor, Washington",1643747892050,1643749802801,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61813771,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61813771&format=geojson,3.0,2.9,,,reviewed,0,89,uw,61813771,",uw61813771,",",uw,",",dyfi,origin,phase-data,",22.0,0.04644,0.18,33.0,ml,earthquake,"M 2.4 - 12 km SSE of Friday Harbor, Washington"
2.1,"47 km WNW of Ninilchik, Alaska",1643747098847,1643747300697,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0221h991le,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0221h991le&format=geojson,,,,,automatic,0,68,ak,0221h991le,",ak0221h991le,",",ak,",",origin,",,,0.69,,ml,earthquake,"M 2.1 - 47 km WNW of Ninilchik, Alaska"
2.24,"22 km SSW of Leilani Estates, Hawaii",1643747023710,1643750491940,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72898687,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72898687&format=geojson,,,,,reviewed,0,77,hv,72898687,",hv72898687,",",hv,",",origin,phase-data,",44.0,,0.13,237.0,md,earthquake,"M 2.2 - 22 km SSW of Leilani Estates, Hawaii"
0.67,"12km SW of Parkfield, CA",1643746994690,1643759115934,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73686901,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73686901&format=geojson,,,,,reviewed,0,7,nc,73686901,",nc73686901,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.03167,0.04,116.0,md,earthquake,"M 0.7 - 12km SW of Parkfield, CA"
2.6,"26 km NNE of Aleneva, Alaska",1643746982767,1643755904040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0221h98pkz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0221h98pkz&format=geojson,,,,,automatic,0,104,ak,0221h98pkz,",us7000gh47,ak0221h98pkz,",",us,ak,",",origin,phase-data,",,,0.49,,ml,earthquake,"M 2.6 - 26 km NNE of Aleneva, Alaska"
0.93,"7km S of Borrego Springs, CA",1643746772130,1643751921886,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39930031,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39930031&format=geojson,,,,,reviewed,0,13,ci,39930031,",ci39930031,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",37.0,0.07838,0.2,69.0,ml,earthquake,"M 0.9 - 7km S of Borrego Springs, CA"
1.88,"8 km WSW of Townsend, Montana",1643746606740,1643821563063,,https://earthquake.usgs.gov/earthquakes/eventpage/mb80537389,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb80537389&format=geojson,1.0,3.1,,,reviewed,0,55,mb,80537389,",mb80537389,",",mb,",",dyfi,origin,phase-data,",8.0,0.327,0.08,149.0,ml,quarry blast,"M 1.9 Quarry Blast - 8 km WSW of Townsend, Montana"
1.9,"44 km NNW of Petersville, Alaska",1643746602034,1643746829572,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0221h97aln,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0221h97aln&format=geojson,,,,,automatic,0,56,ak,0221h97aln,",ak0221h97aln,",",ak,",",origin,",,,0.68,,ml,earthquake,"M 1.9 - 44 km NNW of Petersville, Alaska"
2.33,"3 km SW of Indios, Puerto Rico",1643746396720,1643749401290,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71332088,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71332088&format=geojson,,,,,reviewed,0,84,pr,71332088,",pr71332088,",",pr,",",origin,phase-data,",11.0,,0.08,162.0,md,earthquake,"M 2.3 - 3 km SW of Indios, Puerto Rico"
1.8,"61 km W of Happy Valley, Alaska",1643746071600,1643746368777,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0221h95dv3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0221h95dv3&format=geojson,,,,,automatic,0,50,ak,0221h95dv3,",ak0221h95dv3,",",ak,",",origin,",,,0.75,,ml,earthquake,"M 1.8 - 61 km W of Happy Valley, Alaska"
1.95,"9 km ENE of P?hala, Hawaii",1643745864930,1643746196880,,https://earthquake.usgs.gov/earthquakes/eventpage/hv72898657,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv72898657&format=geojson,,,,,automatic,0,58,hv,72898657,",hv72898657,",",hv,",",origin,phase-data,",34.0,,0.180000007,137.0,ml,earthquake,"M 2.0 - 9 km ENE of P?hala, Hawaii"
1.23,"21 km SE of Kanarraville, Utah",1643745573620,1643748204350,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60480027,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60480027&format=geojson,,,,,reviewed,0,23,uu,60480027,",uu60480027,",",uu,",",origin,phase-data,",6.0,0.1336,0.05,188.0,ml,earthquake,"M 1.2 - 21 km SE of Kanarraville, Utah"
4.9,"53 km NNW of Nuku‘alofa, Tonga",1643745479964,1643815199373,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000gh3s,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gh3s&format=geojson,2.0,5.9,,,reviewed,0,371,us,7000gh3s,",us7000gh3s,",",us,",",dyfi,origin,phase-data,",,6.8,0.43,124.0,mb,earthquake,"M 4.9 - 53 km NNW of Nuku‘alofa, Tonga"
1.35,"9km SW of Niland, CA",1643745323130,1643830599350,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39930015,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39930015&format=geojson,,,,,reviewed,0,28,ci,39930015,",ci39930015,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",5.0,0.02004,0.17,92.0,ml,earthquake,"M 1.4 - 9km SW of Niland, CA"
2.1,"62 km SE of Halibut Cove, Alaska",1643745189609,1643745507202,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0221h8tpzs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0221h8tpzs&format=geojson,,,,,automatic,0,68,ak,0221h8tpzs,",ak0221h8tpzs,",",ak,",",origin,",,,0.22,,ml,earthquake,"M 2.1 - 62 km SE of Halibut Cove, Alaska"
0.61,"11km WNW of The Geysers, CA",1643744588830,1643748673826,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73686891,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73686891&format=geojson,,,,,automatic,0,6,nc,73686891,",nc73686891,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",9.0,0.008142,0.02,79.0,md,earthquake,"M 0.6 - 11km WNW of The Geysers, CA"
1.3,"23 km WNW of Beatty, Nevada",1643743874523,1643769504525,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00832964,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00832964&format=geojson,,,,,reviewed,0,26,nn,00832964,",nn00832964,",",nn,",",origin,phase-data,",10.0,0.297,0.184,124.82,ml,earthquake,"M 1.3 - 23 km WNW of Beatty, Nevada"
1.67,"13km W of Niland, CA",1643743769880,1643751367450,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39929999,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39929999&format=geojson,,,,,reviewed,0,43,ci,39929999,",ci39929999,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",5.0,0.06345,0.18,301.0,ml,earthquake,"M 1.7 - 13km W of Niland, CA"
2.0,"10km SW of Niland, CA",1643743590930,1643750806954,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39929991,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39929991&format=geojson,,,,,reviewed,0,62,ci,39929991,",ci39929991,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",37.0,0.01305,0.25,64.0,ml,earthquake,"M 2.0 - 10km SW of Niland, CA"
1.49,"10km SW of Niland, CA",1643743578520,1643751134726,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37385420,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37385420&format=geojson,,,,,reviewed,0,34,ci,37385420,",ci37385420,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.009767,0.21,62.0,ml,earthquake,"M 1.5 - 10km SW of Niland, CA"
6.0,"185 km NE of Lospalos, Timor Leste",1643743510042,1643830153133,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000gh1g,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000gh1g&format=geojson,10.0,6.9,4.254,green,reviewed,0,561,us,7000gh1g,",us7000gh1g,usauto7000gh1g,pt22032000,",",us,usauto,pt,",",dyfi,ground-failure,internal-moment-tensor,internal-origin,losspager,moment-tensor,origin,phase-data,shakemap,",,3.005,0.77,14.0,mww,earthquake,"M 6.0 - 185 km NE of Lospalos, Timor Leste"
1.53,"20 km SE of Kanarraville, Utah",1643743462070,1643747955600,,https://earthquake.usgs.gov/earthquakes/eventpage/uu60480007,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60480007&format=geojson,,,,,reviewed,0,36,uu,60480007,",uu60480007,",",uu,",",origin,phase-data,",10.0,0.1256,0.1,73.0,ml,earthquake,"M 1.5 - 20 km SE of Kanarraville, Utah"
1.46,"8km SW of Niland, CA",1643743346130,1643750292519,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37385412,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37385412&format=geojson,,,,,reviewed,0,33,ci,37385412,",ci37385412,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",6.0,0.02744,0.21,109.0,ml,earthquake,"M 1.5 - 8km SW of Niland, CA"
1.73,"2 km SSW of Howardville, Missouri",1643743336680,1643812002420,,https://earthquake.usgs.gov/earthquakes/eventpage/nm60380791,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nm60380791&format=geojson,,,,,reviewed,0,46,nm,60380791,",nm60380791,",",nm,",",origin,phase-data,",26.0,0.03608,0.03,47.0,md,earthquake,"M 1.7 - 2 km SSW of Howardville, Missouri"
1.45,"10km SW of Niland, CA",1643743331500,1643750077681,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39929983,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39929983&format=geojson,,,,,reviewed,0,32,ci,39929983,",ci39929983,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.01326,0.18,63.0,ml,earthquake,"M 1.5 - 10km SW of Niland, CA"
2.16,"8 km SSW of Guánica, Puerto Rico",1643743052460,1643745081790,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71332073,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71332073&format=geojson,,,,,reviewed,0,72,pr,71332073,",pr71332073,",",pr,",",origin,phase-data,",5.0,,0.04,257.0,md,earthquake,"M 2.2 - 8 km SSW of Guánica, Puerto Rico"
1.77,"12km SSW of Ferndale, CA",1643741305640,1643760252055,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73686896,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73686896&format=geojson,1.0,2.2,,,reviewed,0,48,nc,73686896,",nc73686896,",",nc,",",dyfi,nearby-cities,origin,phase-data,scitech-link,",20.0,0.02079,0.06,103.0,md,earthquake,"M 1.8 - 12km SSW of Ferndale, CA"
0.48,"6km WNW of The Geysers, CA",1643741110670,1643755515579,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73686886,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73686886&format=geojson,,,,,reviewed,0,4,nc,73686886,",nc73686886,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",3.0,0.01444,0.04,160.0,md,earthquake,"M 0.5 - 6km WNW of The Geysers, CA"
1.76,"159 km WSW of Adak, Alaska",1643740802660,1643770165930,,https://earthquake.usgs.gov/earthquakes/eventpage/av91476476,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91476476&format=geojson,,,,,reviewed,0,48,av,91476476,",av91476476,",",av,",",origin,phase-data,",9.0,,0.16,255.0,ml,earthquake,"M 1.8 - 159 km WSW of Adak, Alaska"
0.43,"14km NE of Trabuco Canyon, CA",1643740167240,1643741028097,,https://earthquake.usgs.gov/earthquakes/eventpage/ci39929935,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci39929935&format=geojson,,,,,reviewed,0,3,ci,39929935,",ci39929935,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",4.0,0.06087,0.06,212.0,ml,earthquake,"M 0.4 - 14km NE of Trabuco Canyon, CA"
0.24,"22 km ENE of Ashford, Washington",1643740154190,1643753956380,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61813756,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61813756&format=geojson,,,,,reviewed,0,1,uw,61813756,",uw61813756,",",uw,",",origin,phase-data,",11.0,0.02153,0.07,115.0,ml,earthquake,"M 0.2 - 22 km ENE of Ashford, Washington"
2.1,"59 km W of Salamatof, Alaska",1643740013701,1643740218583,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0221h82lga,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0221h82lga&format=geojson,,,,,automatic,0,68,ak,0221h82lga,",ak0221h82lga,",",ak,",",origin,",,,0.53,,ml,earthquake,"M 2.1 - 59 km W of Salamatof, Alaska"
